section,display_name,generated_name,derived_from,parent,tier,movements_tab,family,modality,equipment,load_position,stance,range_depth,symmetry,grip,grip_width,bench_angle,styles,direction,support,arm_position,variant,aliases,goals,primary_muscles,secondary_muscles,prescription_modifiers,confidence,needs_confirmation,note
derive,Power Clean,Partial Clean,Clean,Clean,1,yes,Olympic,Weightlifting,Barbell,,,Partial,,,,,,,,,,Barbell Power Clean; Clean (Power); Hang to Power Clean; Partial Clean,"MetCon, Skill, Strength","Glutes, Hamstrings, Neck / Traps, Quads","Calves, Core, Forearms / Grip, Lats, Shoulders",,high,,RD Partial models catch height; see the flagged Partial overload (catch height / hinge ROM / midline ROM share one value)
derive,Alternating Gunslinger Cleans,Alternating Kettlebell Suitcase Clean,Clean,Kettlebell Squat Clean,2,,Olympic,Weightlifting,Kettlebell,Suitcase,,,Alternating,,,,,,,,,Alternating Kettlebell Suitcase Clean,Strength,"Glutes, Shoulders","Core, Forearms / Grip, Hamstrings, Quads",,low,yes,gunslinger = suitcase-position KB clean; dialect name kept pending user call
derive,Double Kettlebell Clean,Kettlebell Double Front Rack Clean,Clean,Kettlebell Squat Clean,2,,Olympic,Weightlifting,Kettlebell,Double Front Rack,,,,,,,,,,,,Double Bell Clean; Kettlebell Double Front Rack Clean,Strength,"Glutes, Hamstrings, Shoulders","Core, Forearms / Grip, Upper Back",,medium,,Double Front Rack + Kettlebell
derive,Advanced Crunch,Advanced Crunch,Crunch,Crunch,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,,,advanced,,MetCon,Core,Hip Flexors,,high,yes,"FLAG: low-information import name, probable duplicate-of Crunch - confirm with user before the apply migration"
derive,Bicycles,Alternating Crunch,Crunch,Crunch,1,,Midline,Gymnastics,Bodyweight;Floor,,,,Alternating,,,,,,,,,Alternating Crunch,Strength,"Core, Obliques",Hip Flexors,,high,,Alternating cross-body crunch; separated from Elbow-To-Knee by symmetry Alternating (declared compromise)
derive,Cable Crunch,Cable Crunch,Crunch,Crunch,1,,Midline,Weightlifting,Cable,,,,,,,,,,,,,Rope Crunches,Strength,Core,,,high,,Cable (approved addendum)
derive,Crunch And Replace,Med Ball Crunch,Crunch,Crunch,1,,Midline,Weightlifting,Med Ball,,,,,,,,,,,,,Med Ball Crunch,Strength,Core,,,high,,med-ball crunch with an overhead pass; Med Ball equipment
derive,Dumbbell Suitcase Crunch,Weighted Dumbbell Suitcase Crunch,Crunch,Crunch,1,,Midline,Weightlifting,Dumbbell,Suitcase,,,,,,,Weighted,,,,,Weighted Dumbbell Suitcase Crunch,Strength,Obliques,Core,,high,,Suitcase load + Weighted style; world name kept
derive,Elbow-To-Knee Crunch,Cross-Body Crunch,Crunch,Crunch,1,,Midline,Gymnastics,Bodyweight;Floor,,,,Cross-Body / Rotational,,,,,,,,,Cross-Body Crunch,MetCon,"Core, Obliques",Hip Flexors,,high,,Cross-Body/Rotational symmetry (silent) so the world name is kept
derive,Heel Tap Crunch,Lateral Crunch,Crunch,Crunch,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,Lateral,,,,Heel Tap Crunches; Lateral Crunch,Strength,Obliques,Core,,high,,Direction Lateral (lateral flexion); singularized
derive,Toe-Tap Crunch,Toe-Tap Crunch,Crunch,Crunch,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,,,toe-tap,Toe Tap Crunch,Strength,Core,Hip Flexors,,high,,variant toe-tap: legs-vertical reach has no attribute
derive,Weighted Toe Tap Crunch,Weighted Dumbbell Toe-Tap Crunch,Crunch,Crunch,1,,Midline,Weightlifting,Dumbbell;Bodyweight,,,,,,,,Weighted,,,,toe-tap,Weighted Dumbbell Toe-Tap Crunch; Weighted Toe Tap Crunches,Strength,Core,Hip Flexors,,high,,bucket A (fp unique on Dumbbell+Weighted); carries the toe-tap label for correct parenting under Toe-Tap Crunch
derive,Cable-Resisted Toe Touches,Cable Toe-Tap Crunch,Crunch,Cable Crunch,2,,Midline,Weightlifting,Cable,,,,,,,,,,,,toe-tap,Cable Toe-Tap Crunch,Strength,Core,Hip Flexors,,high,,bare EQ Cable would collide with Cable Crunch; variant toe-tap resolves it
derive,Supine Cable Pullover Crunch,Supine Cable Crunch,Crunch,Cable Crunch,2,,Pull,Weightlifting,Cable,,Supine,,,,,,,,,,,Supine Cable Crunch,Strength,Core,Lats,,high,,Supine stance is what separates it from Cable Crunch
derive,Cable Curl,Cable Curl,Curl,Curl,1,,Pull,Weightlifting,Cable,,,,,,,,,,,,,Cable Rope Curl; Standing Bicep Cable Curls,Strength,Biceps,Forearms / Grip,,high,,Cable (approved addendum)
derive,Dumbbell Curl,Dumbbell Curl,Curl,Curl,1,,Pull,Weightlifting,Dumbbell,,,,,,,,,,,,,Bicep Curl,Strength,"Biceps, Forearms / Grip",,,high,,Dumbbell; generic import name replaced by the generated form
derive,EZ-Bar Curl,EZ-Bar Curl,Curl,Curl,1,,Pull,Weightlifting,Barbell,,,,,,,,,,,,ez-bar,,Strength,"Biceps, Forearms / Grip",,,high,,"FINGERPRINT collision dissolved by the no-default-equipment rule alone (EQ Barbell is now unique) - prediction confirmed. The variant label is added for the NAME only: with Barbell suppressed as the core default, the generated form degenerated to bare ""Curl"""
derive,Kettlebell Curl,Kettlebell Curl,Curl,Curl,1,,Pull,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,Biceps,Forearms / Grip,,high,,Kettlebell
derive,Alternating Dumbbell Curl,Alternating Dumbbell Curl,Curl,Dumbbell Curl,2,,Pull,Weightlifting,Dumbbell,,,,Alternating,,,,,,,,,,Strength,Biceps,Forearms / Grip,,high,,Dumbbell + Alternating symmetry
derive,Concentration Curl,Concentration Dumbbell Curl,Curl,Dumbbell Curl,2,,Pull,Weightlifting,Dumbbell,,,,Unilateral,,,,,,,Braced,,Concentration Dumbbell Curl,Strength,Biceps,Forearms / Grip,,high,,Arm Position Braced (fragment Concentration) - the declared generated-name collision with Dumbbell Curl is now resolved too
derive,EZ Bar Spider Curl,Incline Prone EZ-Bar Curl,Curl,EZ-Bar Curl,2,,Pull,Weightlifting,Barbell;Bench,,Prone,,,,,Incline,,,,,ez-bar,EZ Bar Spider Curls; Incline Prone EZ-Bar Curl,Strength,Biceps,Forearms / Grip,,medium,,"same EZ-bar gap; fp was already unique on Prone+Incline. G3 PROMOTION CANDIDATE: ""EZ Bar"" is really an equipment value, not a variant - promote it if a third EZ-bar row appears"
derive,Hammer Curl,Neutral-Grip Dumbbell Curl,Curl,Dumbbell Curl,2,,Pull,Weightlifting,Dumbbell,,,,,Neutral,,,,,,,,Neutral-Grip Dumbbell Curl,Strength,Biceps,Forearms / Grip,,high,,Neutral grip orientation (the dictionary's own hammer-curl example); world name kept
derive,High Cable Curls,Overhead Cable Curl,Curl,Cable Curl,2,,Pull,Weightlifting,Cable,,,,,,,,,,,Overhead,,Overhead Cable Curl,Strength,Biceps,,,medium,,RESOLVED COLLISION: Arm Position Overhead replaces the declared fingerprint collision with Cable Curl
derive,Incline Dumbbell Curl,Incline Dumbbell Curl,Curl,Dumbbell Curl,2,,Pull,Weightlifting,Dumbbell;Bench,,,,,,,Incline,,,,,,,Strength,Biceps,,,high,,Bench Angle addendum + Dumbbell
derive,Kettlebell Horn Curl,Kettlebell Horn Curl,Curl,Kettlebell Curl,2,,Pull,Weightlifting,Kettlebell,,,,,,,,,,,,horn,,Strength,Biceps,Forearms / Grip,,medium,,RESOLVED COLLISION: variant horn replaces the declared collision with Kettlebell Curl
derive,Overhand Curl,Dumbbell Curl,Curl,Dumbbell Curl,2,,Pull,Weightlifting,Dumbbell,,,,,Pronated,,,,,,,,Dumbbell Curl,Strength,Biceps,Forearms / Grip,,medium,,"POLICY(a) curated-name child: GAP - Pronated is silent (it is the pull default), so a reverse curl generates the same name as a supinated one; DECLARED generated-name collision with Dumbbell Curl"
derive,Close Grip Seated Hammer Curl,Close-Grip Neutral-Grip Seated Dumbbell Curl,Curl,Hammer Curl,3,,Pull,Weightlifting,Dumbbell,,Seated,,,Neutral,Close,,,,,,,Close-Grip Neutral-Grip Seated Dumbbell Curl,Strength,Biceps,Forearms / Grip,,medium,,Neutral orientation + Close width + Seated; generated stacks three band-25/30 fragments so the world name is kept
derive,Seated Overhead Cable Curl,Overhead Seated Cable Curl,Curl,High Cable Curls,3,,Pull,Weightlifting,Cable,,Seated,,,,,,,,,Overhead,,Overhead Seated Cable Curl,Strength,Biceps,Forearms / Grip,,medium,,Arm Position Overhead + Seated
derive,Cross Body Single-Leg Romanian Deadlift,Partial Single-Leg Kettlebell Deadlift,Deadlift,Deadlift,1,,Hinge,Weightlifting,Kettlebell,,Single-Leg,Partial,Unilateral,,,,,,,,,Partial Single-Leg Kettlebell Deadlift,Strength,"Glutes, Hamstrings","Core, Forearms / Grip, Lower Back",,medium,,cross-body hold not expressible; curated name
derive,Dumbbell Romanian Deadlift,Partial Dumbbell Deadlift,Deadlift,Deadlift,1,,Hinge,Weightlifting,Dumbbell,,,Partial,,,,,,,,,,Partial Dumbbell Deadlift; Stiff-Legged Dumbbell Deadlift (Dumbbell Romanian Deadlift),Strength,"Glutes, Hamstrings, Lower Back",,,high,,import name cleaned to the world's name
derive,Romanian Deadlift,Partial Deadlift,Deadlift,Deadlift,1,yes,Hinge,Weightlifting,Barbell,,,Partial,,,,,,,,,,Partial Deadlift,Strength,"Glutes, Hamstrings",,,high,,RD Partial models hinge ROM; see the flagged Partial overload
derive,Single-Leg Stiff-Leg Belt Squat Deadlift,Partial Single-Leg Machine Deadlift,Deadlift,Deadlift,1,,Hinge,Weightlifting,Machine; Machine,,Single-Leg,Partial,,,,,,,,,,Partial Single-Leg Machine Deadlift,Strength,"Glutes, Hamstrings","Core, Quads",,low,yes,belt-squat machine -> equipment Machine; stiff-leg = Partial
derive,Staggered Kettlebell Deadlift,Staggered Kettlebell Deadlift,Deadlift,Deadlift,1,,Hinge,Weightlifting,Kettlebell,,Staggered,,,,,,,,,,,Kettlebell Kickstand Deadlift,Strength,"Glutes, Hamstrings","Core, Forearms / Grip, Lower Back",,medium,,kickstand is dialect for Staggered; adopt 'Staggered Kettlebell Deadlift'
derive,Sumo Deadlift,Wide-Stance Deadlift,Deadlift,Deadlift,1,yes,Hinge,Weightlifting,Barbell,,Wide (Sumo),,,,,,,,,,,Wide-Stance Deadlift,Strength,"Glutes, Hamstrings, Hip Adductors, Quads",,,high,,the designed curated override for Wide-Stance Deadlift
derive,Trap Bar Deadlift,Trap Bar Deadlift,Deadlift,Deadlift,1,yes,Hinge,Weightlifting,Trap Bar,,,,,,,,,,,,,Hex Bar Deadlift,Strength,"Forearms / Grip, Glutes, Hamstrings, Quads",,,high,,Trap Bar equipment
derive,Wide Stance Snatch Grip Deadlift,Wide-Grip Wide-Stance Deadlift,Deadlift,Sumo Deadlift,2,,Hinge,Weightlifting,Barbell,,Wide (Sumo),,,,Wide,,,,,,,Wide-Grip Wide-Stance Deadlift,Strength,"Glutes, Hamstrings, Lower Back",,,medium,,snatch grip = Wide grip width; world phrasing kept
derive,Weighted Dip,Weighted Dip,Dip,Dip,1,,Push/Press,Gymnastics,Bodyweight,,,,,,,,Weighted,,,,,Weighted Dips,Strength,"Chest, Triceps",,,high,,adopt 'Weighted Dip' (singular)
derive,V-Sit Halo,V-Sit Halo,Halo,Halo,1,,Rotation,Weightlifting,Kettlebell,,V-Sit; V-Sit,,,,,,,,,,,V Sit Halos,Strength,"Core, Shoulders","Hip Flexors, Upper Back",,high,,stance V-Sit; Floor dropped as incidental support (stance implies the ground)
derive,Bar Inverted Row,Bar Inverted Row,Inverted Row,Inverted Row,1,,Pull,Gymnastics,Bar,,,,,,,,,,,,,Inverted Row,Strength,Upper Back,"Biceps, Forearms / Grip",,medium,,CORRECTION 4: child of the renamed Inverted Row core; Bar emits because Rings is the core default
derive,Box Jump,Box Jump,Jump,Jump,1,yes,Plyometric,Gymnastics,Box;Bodyweight;Floor,,,Box,,,,,,,,,,Box Jump (Two-Foot Takeoff); Jump to Box; Plyometric Box Jump,"MetCon, Skill","Calves, Glutes, Hamstrings, Quads","Core, Hip Flexors, Lower Back",,high,,range Box implies equipment Box (suppressed) - the 'Box Box Jump' rule exercised
derive,Depth Jump,Plyo Box Jump,Jump,Jump,1,,Plyometric,Gymnastics,Box;Bodyweight,,,,,,,,Plyometric,,,,,Plyo Box Jump,Skill,"Calves, Glutes, Quads","Core, Hamstrings",,medium,,"drop-and-rebound; Plyo + Box, curated name"
derive,Overspeed Band Jump,Assisted Bands Jump,Jump,Jump,1,,Plyometric,Gymnastics,Bands,,,,,,,,Assisted,,,,,Assisted Bands Jump,Skill,"Calves, Glutes, Quads","Core, Hamstrings",,medium,,Bands-assisted jump
derive,Pogo Jumps,Quarter Jump,Jump,Jump,1,,Plyometric,Recovery,Bodyweight;Floor,,,Quarter,,,,,,,,,,Quarter Jump,"Strength, MetCon",Calves,"Glutes, Quads",,medium,,retagged Recovery -> training; Quarter range
derive,Lymphatic Jumps,Quarter Lymphatic Jump,Jump,Pogo Jumps,2,,Plyometric,Recovery,Bodyweight;Floor,,,Quarter,,,,,,,,,lymphatic,Quarter Lymphatic Jump,Mobility,"Calves, Quads",Glutes,,high,yes,FLAG probable duplicate-of Pogo Jumps - confirm with user; variant keeps it storable meanwhile
derive,Double-Under,Double-Under Jump Rope,Jump Rope,Jump Rope,1,yes,Rope,Monostructural,Jump Rope,,,,,,,,,,,,double-under,Double-Under Jump Rope,MetCon,"Calves, Full Body",,,high,,RESOLVED COLLISION: variant double-under replaces the declared collision with the Jump Rope core
derive,Kneeling Rope Lat Pulldown,Kneeling Lat Pulldown,Lat Pulldown,Lat Pulldown,1,,Pull,Weightlifting,Cable,,Kneeling,,,,,,,,,,,Kneeling Lat Pulldown,Strength,Lats,"Biceps, Upper Back",,medium,,Kneeling stance; rope attachment is not identity; world name kept
derive,Straight-Arm Lat Pulldown,Straight-Arm Lat Pulldown,Lat Pulldown,Lat Pulldown,1,,Pull,Weightlifting,Cable,,,,,,,,,,,Straight-Arm,,Straight Arm Cable Rope Lat Pulldown,Strength,Lats,"Triceps, Upper Back",,high,,Arm Position Straight-Arm expresses the shoulder-extension difference the prior pass could not
derive,Underhand Lat Pulldown,Underhand Lat Pulldown,Lat Pulldown,Lat Pulldown,1,,Pull,Weightlifting,Cable,,,,,Supinated,,,,,,,,,Strength,"Biceps, Lats",,,high,,Supinated grip orientation
derive,Wide-Grip Lat Pulldown,Wide-Grip Lat Pulldown,Lat Pulldown,Lat Pulldown,1,,Pull,Weightlifting,Cable,,,,,,Wide,,,,,,,Wide Grip Lat Pulldown,Strength,"Lats, Upper Back",,,high,,NEW CORE 'Lat Pulldown' is a NEW ROW (same pattern as Carry / Bent-Over Row) - no plain pulldown row exists; Cable is its silent default; Wide grip width
derive,Single-Arm Cable Lat Fly,Straight-Arm Lat Pulldown,Lat Pulldown,Straight-Arm Lat Pulldown,2,,Push/Press,Weightlifting,Cable,,,,Unilateral,,,,,,,Straight-Arm,,Straight-Arm Lat Pulldown,Strength,Lats,Shoulders,,high,,Straight-Arm + Unilateral; Unilateral silent so the generated name collides by NAME with Straight-Arm Lat Pulldown - fingerprints differ
derive,Seated Leg Curls,Seated Leg Curl,Leg Curl,Leg Curl,1,,Hinge,Weightlifting,Machine; Machine,,Seated,,,,,,,,,,,Seated Leg Curl,Strength,Hamstrings,,,high,,equipment Machine
derive,High Stance Leg Press,High-Stance Leg Press,Leg Press,Leg Press,1,,Squat,Weightlifting,Machine; Machine,,,,,,,,,,,,high-stance,High-Stance Leg Press,Strength,"Glutes, Hamstrings, Quads",,,medium,,RESOLVED COLLISION: was sharing the empty core fingerprint; now Machine + variant high-stance
derive,Single-Leg Press,Single-Leg Leg Press,Leg Press,Leg Press,1,,Squat,Weightlifting,Machine; Machine,,Single-Leg,,Unilateral,,,,,,,,,Single-Leg Leg Press,Strength,"Glutes, Quads",,,high,,equipment Machine; the generated form doubles the word Leg so the world name is kept
derive,Balanced Knee Tucks,Partial Leg Raise,Leg Raise,Leg Raise,1,,Midline,Gymnastics,Bodyweight;Floor,,,Partial,,,,,,,,,,Partial Leg Raise,Strength,Core,Hip Flexors,,high,,knee tuck = partial-range leg raise
derive,Hanging Leg Raise,Bar Leg Raise,Leg Raise,Leg Raise,1,,Midline,Gymnastics,Bar,,,,,,,,,,,,,Bar Leg Raise; Hanging Leg Raises,Strength,"Core, Hip Flexors","Forearms / Grip, Shoulders",,medium,,CORRECTION 8: moved from Toes-to-Bar to Leg Raise; Toes-to-Bar stays the sport movement and a clean ROM endpoint
derive,Toe Taps,Med Ball Leg Raise,Leg Raise,Leg Raise,1,,Midline,Weightlifting,Med Ball,,,,,,,,,,,,,Med Ball Leg Raise,Strength,Core,Hip Flexors,,high,yes,assumes supine med-ball toe taps - VERIFY with user
derive,Weighted Leg Raise,Weighted Dumbbell Leg Raise,Leg Raise,Leg Raise,1,,Midline,Weightlifting,Dumbbell,,,,,,,,Weighted,,,,,Weighted Dumbbell Leg Raise,Strength,"Core, Hip Flexors",Obliques,,high,,Weighted style - the row the revoked threshold killed
derive,Flutter Kicks,Partial Alternating Leg Raise,Leg Raise,Balanced Knee Tucks,2,,Midline,Gymnastics,Bodyweight;Floor,,,Partial,Alternating,,,,,,,,,Partial Alternating Leg Raise,MetCon,"Core, Hip Flexors",,,high,,midline accessory
derive,Hanging Knee Raise,Partial Bar Leg Raise,Leg Raise,Hanging Leg Raise,2,yes,Midline,Gymnastics,Bar,,,Partial,,,,,,,,,,Hanging Knee Raises; Partial Bar Leg Raise,Skill,"Core, Obliques",Forearms / Grip,,medium,,CORRECTION 8: moved from Toes-to-Bar to Leg Raise - Bar + Partial is a truer model than Partial Toes-to-Bar
derive,Hollow Flutter Kicks,Partial Hollow Alternating Leg Raise,Leg Raise,Flutter Kicks,3,,Midline,Gymnastics,Bodyweight;Floor,,Hollow; Hollow,Partial,Alternating,,,,,,,,,Partial Hollow Alternating Leg Raise,Strength,Core,"Hip Flexors, Quads",,high,,stance Hollow (new value)
derive,Alternating Lunge,Alternating Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Bodyweight,,,,Alternating,,,,,,,,,Alternating Forward Lunge; Bodyweight Alternating Lunge; Dynamic Lunge,Strength,"Glutes, Hamstrings, Quads","Calves, Core, Hip Flexors",,high,,adopting generated name trims trailing space; child re-parented to core
derive,Alternating Single-Dumbbell Lunge,Alternating Dumbbell Suitcase Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Dumbbell,Suitcase,,,Alternating,,,,,,,,,Alternating Dumbbell Suitcase Lunge; Alternating Single-DB Lunge; DB Alternating Lunge; Offset Lunge; Single Dumbbell Alternating Lunge,Strength,"Glutes, Hamstrings, Quads","Calves, Core, Forearms / Grip, Hip Flexors, Lower Back",,high,,DB + Alternating; re-parent from Alternating Lunge to core
derive,Bulgarian Split Squat,Split Bench Lunge,Lunge,Lunge,1,yes,Lunge,Gymnastics,Bench;Bodyweight,,Split,,Unilateral,,,,,,,,,RFESS; Rear-Foot Elevated Split Squat; Split Bench Lunge,Strength,"Glutes, Quads",,,high,,rear-foot-elevated Split + Bench; 'Bulgarian' is the world's name
derive,Dumbbell Bulgarian Split Squat,Split Bench Dumbbell Suitcase Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Dumbbell;Bench,Suitcase,Split,,Unilateral,,,,,,,,,Bulgarian Split Squat (DB); DB RFESS; DB Rear-Foot Elevated Split Squat; Split Bench Dumbbell Suitcase Lunge,Strength,"Glutes, Quads",,,high,,Split (RFE) + Dumbbell + Bench
derive,Dumbbell Walking Lunge,Walking Dumbbell Suitcase Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Dumbbell,Suitcase,,,,,,,,Walking,,,,Walking Dumbbell Suitcase Lunge,Strength,"Glutes, Hamstrings, Quads",,,medium,,Direction Walking closes the direction gap
derive,Jumping Split Lunge,Plyo Split Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Bodyweight,,Split,,,,,,Plyometric,,,,,Jumping Split Lunges; Plyo Split Lunge,MetCon,"Glutes, Quads","Calves, Core, Hamstrings",,high,,Plyometric style + Split stance
derive,Kettlebell Front Rack Lunge,Kettlebell Single Front Rack Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Kettlebell,Single Front Rack,,,,,,,,,,,,Kettlebell Single Front Rack Lunge,Strength,"Glutes, Quads","Core, Hamstrings, Shoulders",,high,,current name cleaner than 'Kettlebell Single Front Rack Lunge'
derive,Kettlebell Goblet Curtsy Squat,Curtsy Kettlebell Goblet Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Kettlebell,Goblet,,,,,,,,Curtsy,,,,Curtsy Kettlebell Goblet Lunge,Strength,"Glutes, Quads","Core, Hip Abductors, Hip Adductors",,low,yes,Direction Curtsy closes the direction gap
derive,Kettlebell Reverse Lunge,Reverse Kettlebell Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Kettlebell,,,,,,,,,Reverse,,,,Reverse Kettlebell Lunge,Strength,"Glutes, Quads","Calves, Core, Hamstrings",,medium,,Direction Reverse closes the direction gap
derive,Kettlebell Split Squat,Split Kettlebell Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Kettlebell,,Split,,,,,,,,,,,Kettlebell Split Squats; Split Kettlebell Lunge,Strength,"Glutes, Quads","Core, Hamstrings",,high,,"split-stance lunge; world name kept, singularized"
derive,Kettlebell Suitcase Lunge,Kettlebell Suitcase Lunge,Lunge,Lunge,1,,Lunge,Gymnastics,Kettlebell,Suitcase,,,,,,,,,,,,,Strength,"Glutes, Quads","Core, Forearms / Grip, Hamstrings, Obliques",,high,,Suitcase load + Kettlebell
derive,Alternating Reverse Lunge,Reverse Alternating Lunge,Lunge,Alternating Lunge,2,,Lunge,Gymnastics,Bodyweight,,,,Alternating,,,,,Reverse,,,,Alternating Reverse Lunges; Reverse Alternating Lunge,Strength,"Glutes, Quads","Calves, Core, Hamstrings",,medium,,RESOLVED COLLISION: Direction Reverse replaces the collision with Alternating Lunge
derive,2 Tap Climbers,Double-Tap Mountain Climber,Mountain Climber,Mountain Climber,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,,,double-tap,Double-Tap Mountain Climber,Strength,Core,"Hip Flexors, Shoulders",,medium,,mountain-climber accessory; no Mountain Climber base row exists
derive,Spider Plank,Spider Mountain Climber,Mountain Climber,Mountain Climber,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,,,spider,Spider Mountain Climber,Strength,"Core, Obliques","Hip Flexors, Shoulders",,high,,"moved from Plank to Mountain Climber: it is a slow climber, and it keeps Plank inside the 6-variant cap"
derive,Bar Muscle-Up,Bar Muscle-Up,Muscle-Up,Muscle-Up,1,yes,Ring/Bar,Gymnastics,Bar,,,,,,,,,,,,,,Skill,"Lats, Triceps, Upper Back","Biceps, Core, Forearms / Grip, Shoulders",,high,,equipment Bar (Rings is the default)
derive,Copenhagen Side Plank,Side Bench Plank,Plank,Plank,1,,Midline,Gymnastics,Bodyweight;Bench,,,,,,,,,,Side,,,Side Bench Plank,Strength,Hip Adductors,"Core, Obliques, Shoulders",,high,,"Support Position Side + Bench (top leg elevated, per description); world name kept"
derive,Dumbbell Plank Pull-Through,Dumbbell Pull-Through Plank,Plank,Plank,1,,Midline,Weightlifting,Dumbbell;Bodyweight,,,,,,,,,,,,pull-through,Dumbbell Pull-Through Plank; Plank Pull Thru,Strength,Core,"Obliques, Shoulders",,high,,plank accessory (DB twin of KB plank pull-through)
derive,High Plank,High Plank,Plank,Plank,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,Hand,,,,Strength,Core,Shoulders,,high,,NEW CORE Plank is a NEW ROW (forearm plank); Support Position Hand
derive,Kettlebell Plank Pull Through,Kettlebell Pull-Through Plank,Plank,Plank,1,,Midline,Weightlifting,Kettlebell;Floor,,,,,,,,,,,,pull-through,Kettlebell Pull-Through Plank,Strength,"Core, Obliques","Forearms / Grip, Shoulders, Upper Back",,high,,same label as the DB twin; equipment separates the fingerprints
derive,"Plank Grab, Reach, And Pull",Grab-Reach-Pull Plank,Plank,Plank,1,,Midline,Weightlifting,Bodyweight;Floor,,,,,,,,,,,,grab-reach-pull,Grab-Reach-Pull Plank,Strength,Core,"Chest, Obliques, Shoulders",,high,yes,FLAG possible duplicate of Plank Reach - confirm with user
derive,Plank Jacks,Jack Plank,Plank,Plank,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,,,jacks,Jack Plank,MetCon,Core,"Hip Abductors, Shoulders",,high,,plank accessory
derive,Plank Reach,Reach Plank,Plank,Plank,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,,,reach,Plank Reaches; Reach Plank,Strength,Core,"Obliques, Shoulders",,high,,plank accessory
derive,Plank Rows,Kettlebell Renegade-Row Plank,Plank,Plank,1,,Support/Hold,Weightlifting,Kettlebell;Floor,,,,,,,,,,,,renegade-row,Kettlebell Renegade-Row Plank,Strength,"Core, Lats","Biceps, Shoulders, Upper Back",,medium,,bare KB+Floor would collide with the KB plank pull-through
derive,Side Plank Raise,Side Plank,Plank,Plank,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,Side,,,Side Plank,Strength,Obliques,"Core, Shoulders",,high,,Support Position Side; FLAG possible duplicate of Weighted Side Plank Dip unloaded
derive,Weighted Side Plank Dip,Weighted Side Dumbbell Plank,Plank,Plank,1,,Push/Press,Weightlifting,Dumbbell;Bodyweight,,,,,,,,Weighted,,Side,,,Weighted Side Dumbbell Plank,Strength,Obliques,"Core, Shoulders",,high,,Support Position Side + Weighted
derive,Dumbbell Shoulder Press,Dumbbell Press,Press,Press,1,,Push/Press,Weightlifting,Dumbbell,,,,,,,,,,,,,Dumbbell Press,Strength,"Shoulders, Triceps",,,high,,'Shoulder Press' is common usage; generated would be 'Dumbbell Press'
derive,Kettlebell Push Out,Crush Kettlebell Press,Press,Press,1,,Push/Press,Weightlifting,Kettlebell,,,,,,,,Crush; Crush,,,,,Crush Kettlebell Press,Strength,Chest,"Shoulders, Triceps",,medium,,style Crush
derive,Push Press,Plyo Press,Press,Press,1,yes,Push/Press,Weightlifting,Barbell,,,,,,,,Plyometric,,,,,Barbell Push Press; Plyo Press; S2O; Shoulder-to-Overhead,Strength,"Quads, Shoulders, Triceps","Core, Glutes",,high,,"Press + Plyometric (leg drive), curated name Push Press; Jerk core rejected (zero jerk rows)"
derive,Rotational Offset Press,Kettlebell Press,Press,Press,1,,Push/Press,Weightlifting,Kettlebell,,,,Offset,,,,,,,,,Kettlebell Press,Strength,"Chest, Shoulders","Core, Obliques, Triceps",,low,yes,rotation not expressible; may be outlier
derive,V Sit Shoulder Press,V-Sit Kettlebell Press,Press,Press,1,,Push/Press,Weightlifting,Kettlebell,,V-Sit; V-Sit,,,,,,,,,,,V-Sit Kettlebell Press,Strength,"Core, Shoulders","Hip Flexors, Triceps",,medium,,stance V-Sit - V-sit IS a stance now
derive,Alternating Dumbbell Press,Alternating Dumbbell Press,Press,Dumbbell Shoulder Press,2,,Push/Press,Weightlifting,Dumbbell,,,,Alternating,,,,,,,,,,Strength,Chest,"Shoulders, Triceps",,high,,Dumbbell + Alternating symmetry
derive,Seated Dumbbell Press,Seated Dumbbell Press,Press,Dumbbell Shoulder Press,2,,Push/Press,Weightlifting,Dumbbell,,Seated,,,,,,,,,,,,Strength,"Shoulders, Triceps",,,high,,"bench is incidental support, not identity equipment"
derive,Single Dumbbell Strict Press,Strict Dumbbell Press,Press,Dumbbell Shoulder Press,2,,Push/Press,Weightlifting,Dumbbell,,,,Unilateral,,,,Strict,,,,,Strict Dumbbell Press,Strength,Shoulders,"Core, Triceps",,high,,Unilateral is silent by design; custom name carries the single-bell meaning
